id_str,retweet_count,favorite_count
892420643555336193,6886,32930
892177421306343426,5185,28471
891815181378084864,3424,21387
891689557279858688,7097,35920
891327558926688256,7616,34337
891087950875897856,2551,17276
890971913173991426,1621,10082
890729181411237888,15465,55412
890609185150312448,3564,23836
890240255349198849,5996,27193
890006608113172480,6042,26317
889880896479866881,4088,23860
889665388333682689,8193,40928
889638837579907072,3654,23045
889531135344209921,1855,12987
889278841981685760,4371,21476
888917238123831296,3693,24932
888804989199671297,3467,21846
888554962724278272,2837,16864
888078434458587136,2844,18590
887705289381826560,4452,25850
887517139158093824,9671,39541
887473957103951883,14772,58703
887343217045368832,8636,28768
887101392804085760,4900,26192
886983233522544640,6195,29596
886736880519319552,2582,10228
886680336477933568,3674,19194
886366144734445568,2581,18035
886267009285017600,4,101
886258384151887873,5175,23882
886054160059072513,90,0
885984800019947520,5511,27866
885528943205470208,5240,30725
885518971528720385,3056,17438
885311592912609280,15177,0
885167619883638784,3613,18715
884925521741709313,14742,65626
884876753390489601,4582,23724
884562892145688576,3835,20732
884441805382717440,4725,23182
884247878851493888,16629,61963
884162670584377345,2464,17429
883838122936631299,2811,18610
883482846933004288,8108,39057
883360690899218434,3022,19388
883117836046086144,5442,31651
882992080364220416,3189,20437
882762694511734784,4029,24152
882627270321602560,4967,23936
882268110199369728,9436,38245
882045870035918850,4008,25002
881906580714921986,2795,20845
881666595344535552,8783,43306
881633300179243008,8,112
881536004380872706,13172,42244
881268444196462592,4404,19849
880935762899988482,2287,14590
880872448815771648,3156,18209
880465832366813184,5129,24383
880221127280381952,3410,23020
880095782870896641,3585,23626
879862464715927552,2877,19157
879674319642796034,9,280
879492040517615616,2591,20118
879415818425184262,36767,90549
879376492567855104,2612,14462
879130579576475649,5625,0
879050749262655488,3876,19257
879008229531029506,2205,16309
878776093423087618,3373,16606
878604707211726852,5814,25763
878404777348136964,1051,0
878316110768087041,5433,0
878281511006478336,1053,6594
878057613040115712,5625,35942
877736472329191424,15535,67537
877556246731214848,3108,19345
877316821321428993,4270,23521
877201837425926144,4540,23230
876838120628539392,2763,17703
876537666061221889,3894,20360
876484053909872640,1964,16101
876120275196170240,3846,23974
875747767867523072,3516,21496
875144289856114688,4091,18889
875097192612077568,5009,23524
875021211251597312,3894,21889
874680097055178752,3847,23855
874434818259525634,12031,0
874296783580663808,3417,22347
874057562936811520,3318,19457
874012996292530176,8435,29275
873580283840344065,3280,20769
873337748698140672,1308,0
873213775632977920,1308,6152
872967104147763200,4480,23434
872820683541237760,3108,12732
872620804844003328,3010,17743
872486979161796608,7543,35027
872122724285648897,6705,29425
871879754684805121,9094,32175
871762521631449091,2920,17383
871515927908634625,2886,17400
871166179821445120,4812,0
871102520638267392,4593,18056
871032628920680449,3171,19628
870804317367881728,5192,28964
870726314365509632,3,101
870656317836468226,2160,10590
870374049280663552,22211,71401
870308999962521604,3489,18942
870063196459192321,6960,31581
869772420881756160,8514,36766
869702957897576449,5303,24339
869596645499047938,2588,13735
869227993411051520,3142,17635
868880397819494401,12040,56502
868639477480148993,1712,0
868622495443632128,4381,22982
868552278524837888,1712,8680
867900495410671616,3511,21015
867774946302451713,6156,29508
867421006826221569,2086,13934
867072653475098625,99,0
867051520902168576,6684,27929
866720684873056260,4074,17394
866686824827068416,2918,16687
866450705531457537,29650,105940
866334964761202691,12031,45437
866094527597207552,7053,0
865718153858494464,4743,22250
865359393868664832,4211,22962
865006731092295680,6562,24373
864873206498414592,7368,28040
864279568663928832,2533,12705
864197398364647424,7447,26006
863907417377173506,3537,17938
863553081350529029,3573,13300
863471782782697472,2052,0
863432100342583297,4493,20681
863427515083354112,80,1921
863079547188785154,939,7722
863062471531167744,2052,7315
862831371563274240,4382,16768
862722525377298433,3037,14932
862457590147678208,4179,17817
862096992088072192,19667,64741
861383897657036800,9112,31500
861288531465048066,3528,14965
861005113778896900,3271,14573
860981674716409858,1826,0
860924035999428608,664,0
860563773140209665,1826,6555
860524505164394496,4513,20642
860276583193509888,3014,16061
860184849394610176,5022,14599
860177593139703809,26230,0
859924526012018688,3517,17090
859851578198683649,3020,13592
859607811541651456,1348,16374
859196978902773760,25830,78498
859074603037188101,11776,29713
858860390427611136,6964,0
858843525470990336,2980,13790
858471635011153920,4191,18980
858107933456039936,2489,13847
857989990357356544,2231,14092
857746408056729600,9184,30061
857393404942143489,1416,5174
857263160327368704,3912,17821
857214891891077121,16,199
857062103051644929,143,0
857029823797047296,3443,16657
856543823941562368,2503,14416
856526610513747968,1624,10526
856288084350160898,15,475
856282028240666624,5481,24632
855862651834028034,21,298
855860136149123072,844,4300
855857698524602368,1819,10545
855851453814013952,15730,40395
855818117272018944,4722,23646
855459453768019968,7191,26451
855245323840757760,5171,0
855138241867124737,36,0
854732716440526848,5265,20162
854482394044301312,5927,25912
854365224396361728,4075,16740
854120357044912130,6480,28388
854010172552949760,2751,14394
853760880890318849,5041,25387
853639147608842240,8722,30806
853299958564483072,3120,13768
852936405516943360,1763,0
852912242202992640,1565,8019
852672615818899456,1878,13252
852553447878664193,3064,14504
852311364735569921,8716,29544
852226086759018497,5979,17850
852189679701164033,1399,10262
851591660324737024,3072,14555
851464819735769094,6197,21690
851224888060895234,5076,18548
850753642995093505,7974,27454
850380195714523136,2291,11729
850333567704068097,301,3105
850145622816686080,3339,14649
850019790995546112,4301,18278
849776966551130114,6708,27203
849668094696017920,4367,0
849412302885593088,2787,14289
849336543269576704,1659,10247
849051919805034497,7491,37887
848690551926992896,3867,22597
848324959059550208,4089,22230
848213670039564288,636,7326
848212111729840128,2667,14625
847978865427394560,2863,0
847971574464610304,385,0
847962785489326080,4498,21205
847842811428974592,1172,4897
847617282490613760,372,6270
847606175596138505,3036,16901
847251039262605312,3850,18460
847157206088847362,5156,17843
847116187444137987,2833,19309
846874817362120707,3497,18166
846514051647705089,10216,40072
846505985330044928,2711,12681
846153765933735936,8022,28405
846139713627017216,9001,28039
846042936437604353,2545,14430
845812042753855489,7747,26336
845677943972139009,4316,22787
845397057150107648,1591,6899
845306882940190720,4776,21078
845098359547420673,6832,0
844979544864018432,2288,12377
844973813909606400,2808,13603
844580511645339650,2776,14865
844223788422217728,1965,12371
843981021012017153,2656,13749
843856843873095681,4106,19437
843604394117681152,2450,15328
843235543001513987,5305,19459
842846295480000512,3257,13853
842765311967449089,1159,6137
842535590457499648,3112,16425
842163532590374912,5171,22161
842115215311396866,2706,12705
841833993020538882,13363,0
841680585030541313,7037,23381
841439858740625411,3249,11405
